"SERIES";"INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC";"INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC";"INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC";
"PERIODOS";"610003.D";"610004.D";"610007.D";
199705;97.6000000000000000;75.9000000000000000;114.6000000000000000;
199706;98.4000000000000000;78.0000000000000000;115.7000000000000000;
199707;98.6000000000000000;78.9000000000000000;116.4000000000000000;
199708;102.4000000000000000;76.5000000000000000;117.1000000000000000;
199709;100.0000000000000000;77.2000000000000000;117.1000000000000000;
199710;102.5000000000000000;78.3000000000000000;118.5000000000000000;
199711;100.2000000000000000;78.7000000000000000;117.9000000000000000;
199712;102.3000000000000000;79.4000000000000000;118.7000000000000000;
199801;102.2000000000000000;79.9000000000000000;117.7000000000000000;
199802;102.9000000000000000;79.8000000000000000;117.7000000000000000;
199803;101.6000000000000000;80.8000000000000000;117.1000000000000000;
199804;103.0000000000000000;80.4000000000000000;118.0000000000000000;
199805;104.3000000000000000;80.7000000000000000;117.9000000000000000;
