SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
200305;1.082.000.000.000.000.000;848.000.000.000.000.000;1.145.000.000.000.000.000
200306;1.079.000.000.000.000.000;843.000.000.000.000.000;1.160.000.000.000.000.000
200307;1.098.000.000.000.000.000;859.000.000.000.000.000;1.177.000.000.000.000.000
200308;1.095.000.000.000.000.000;842.000.000.000.000.000;1.146.000.000.000.000.000
200309;1.092.000.000.000.000.000;837.000.000.000.000.000;1.154.000.000.000.000.000
200310;1.119.000.000.000.000.000;860.000.000.000.000.000;1.168.000.000.000.000.000
200311;1.096.000.000.000.000.000;866.000.000.000.000.000;1.183.000.000.000.000.000
200312;1.103.000.000.000.000.000;870.000.000.000.000.000;1.183.000.000.000.000.000
200401;1.112.000.000.000.000.000;871.000.000.000.000.000;1.183.000.000.000.000.000
200402;1.122.000.000.000.000.000;873.000.000.000.000.000;1.178.000.000.000.000.000
200403;1.119.000.000.000.000.000;866.000.000.000.000.000;1.158.000.000.000.000.000
200404;1.119.000.000.000.000.000;879.000.000.000.000.000;1.180.000.000.000.000.000
200405;1.113.000.000.000.000.000;886.000.000.000.000.000;1.177.000.000.000.000.000
200406;1.125.000.000.000.000.000;879.000.000.000.000.000;1.170.000.000.000.000.000
200407;1.128.000.000.000.000.000;891.000.000.000.000.000;1.173.000.000.000.000.000
200408;1.090.000.000.000.000.000;882.000.000.000.000.000;1.146.000.000.000.000.000
200409;1.128.000.000.000.000.000;880.000.000.000.000.000;1.164.000.000.000.000.000
200410;1.138.000.000.000.000.000;891.000.000.000.000.000;1.174.000.000.000.000.000
200411;1.118.000.000.000.000.000;876.000.000.000.000.000;1.156.000.000.000.000.000
200412;1.121.000.000.000.000.000;877.000.000.000.000.000;1.146.000.000.000.000.000
200501;1.141.000.000.000.000.000;896.000.000.000.000.000;1.147.000.000.000.000.000
200502;1.126.000.000.000.000.000;886.000.000.000.000.000;1.152.000.000.000.000.000
200503;1.101.000.000.000.000.000;896.000.000.000.000.000;1.152.000.000.000.000.000
200504;1.132.000.000.000.000.000;902.000.000.000.000.000;1.179.000.000.000.000.000
200505;1.118.000.000.000.000.000;892.000.000.000.000.000;1.150.000.000.000.000.000
200506;1.118.000.000.000.000.000;910.000.000.000.000.000;1.150.000.000.000.000.000
200507;1.113.000.000.000.000.000;922.000.000.000.000.000;1.166.000.000.000.000.000
200508;1.106.000.000.000.000.000;898.000.000.000.000.000;1.159.000.000.000.000.000
200509;1.137.000.000.000.000.000;919.000.000.000.000.000;1.163.000.000.000.000.000
200510;1.103.000.000.000.000.000;936.000.000.000.000.000;1.164.000.000.000.000.000
200511;1.148.000.000.000.000.000;927.000.000.000.000.000;1.177.000.000.000.000.000
200512;1.133.000.000.000.000.000;927.000.000.000.000.000;1.159.000.000.000.000.000
200601;1.126.000.000.000.000.000;937.000.000.000.000.000;1.163.000.000.000.000.000
200602;1.118.000.000.000.000.000;939.000.000.000.000.000;1.186.000.000.000.000.000
200603;1.140.000.000.000.000.000;930.000.000.000.000.000;1.193.000.000.000.000.000
200604;1.133.000.000.000.000.000;949.000.000.000.000.000;1.181.000.000.000.000.000
200605;1.152.000.000.000.000.000;958.000.000.000.000.000;1.211.000.000.000.000.000
200606;1.150.000.000.000.000.000;955.000.000.000.000.000;1.213.000.000.000.000.000
200607;1.133.000.000.000.000.000;971.000.000.000.000.000;1.195.000.000.000.000.000
200608;1.126.000.000.000.000.000;976.000.000.000.000.000;1.212.000.000.000.000.000
200609;1.144.000.000.000.000.000;973.000.000.000.000.000;1.210.000.000.000.000.000
200610;1.135.000.000.000.000.000;969.000.000.000.000.000;1.212.000.000.000.000.000
200611;1.129.000.000.000.000.000;986.000.000.000.000.000;1.212.000.000.000.000.000
200612;1.147.000.000.000.000.000;995.000.000.000.000.000;1.232.000.000.000.000.000
200701;1.134.000.000.000.000.000;992.000.000.000.000.000;1.220.000.000.000.000.000
200702;1.145.000.000.000.000.000;1.001.000.000.000.000.000;1.229.000.000.000.000.000
200703;1.155.000.000.000.000.000;1.006.000.000.000.000.000;1.238.000.000.000.000.000
200704;1.134.000.000.000.000.000;998.000.000.000.000.000;1.214.000.000.000.000.000
200705;1.161.000.000.000.000.000;1.016.000.000.000.000.000;1.239.000.000.000.000.000
