;date;year;month;ctot_log_change;ctot_pct_gdp;n_commodities;ctot_level;ctot_12m_avg
83;2007-01-01;2007;1;0.0010598375987692964;0.10598375987692964;55;100.71484687870549;0.00750340826151497
84;2007-02-01;2007;2;-0.0005103733318112292;-0.05103733318112291;55;100.66345782165878;0.0009516073420991466
85;2007-03-01;2007;3;-0.001181745988114626;-0.1181745988114626;55;100.54456944599464;-0.0062561194393862965
86;2007-04-01;2007;4;-0.0008940185110500497;-0.08940185110500497;55;100.45472090883649;-0.008879276439599718
87;2007-05-01;2007;5;6.455876983473405e-05;0.006455876983473404;55;100.46120635138631;-0.021879559762546352
88;2007-06-01;2007;6;-0.000499109956791222;-0.049910995679122196;55;100.41107767392671;-0.03592168324574877
89;2007-07-01;2007;7;-0.0006952929409170947;-0.06952929409170946;55;100.34128682578378;-0.03566345559864644
90;2007-08-01;2007;8;-0.0006891752321917443;-0.06891752321917444;55;100.27215791983825;0.0006952909736243814
91;2007-09-01;2007;9;0.00039788523286239956;0.039788523286239955;55;100.31206266897055;0.007847235856676077
92;2007-10-01;2007;10;-0.0006760112530908521;-0.06760112530908521;55;100.24427350148719;0.004654747510214549
93;2007-11-01;2007;11;-0.0009131810701704406;-0.09131810701704407;55;100.15277411264599;0.002228483433030491
94;2007-12-01;2007;12;0.0002570120108332562;0.02570120108332562;55;100.17851788659907;-0.002967941050817714
95;2008-01-01;2008;1;0.005422887187441795;0.5422887187441795;55;100.72325036414604;9.431718926160712e-05
96;2008-02-01;2008;2;0.00034786005415497425;0.03478600541549742;55;100.75829405426897;0.011152928708431103
97;2008-03-01;2008;3;-0.0015648445896900092;-0.15648445896900093;55;100.60074628398917;0.016038689681223902
98;2008-04-01;2008;4;-0.0011851702003121366;-0.11851702003121366;55;100.48158790279325;0.010574382816754574
99;2008-05-01;2008;5;-0.0005590121682270507;-0.05590121682270507;55;100.42543316952475;0.015180541323532984
100;2008-06-01;2008;6;-0.00013163896798170342;-0.013163896798170342;55;100.41221413923202;0.03719330044719881
101;2008-07-01;2008;7;0.0006317404413832449;0.06317404413832449;55;100.47566863698847;0.05897511883173203
102;2008-08-01;2008;8;-0.00010288391545660886;-0.010288391545660885;55;100.46533183854524;0.02180952273563101
103;2008-09-01;2008;9;-0.00025783159087391954;-0.025783159087391955;55;100.43943204124608;0.01845548161729787
104;2008-10-01;2008;10;-0.00012327223227744287;-0.012327223227744287;55;100.4270514113593;0.016299659173510384
105;2008-11-01;2008;11;0.0017283500246694581;0.1728350024669458;55;100.60077459213008;0.028679469185758144
106;2008-12-01;2008;12;0.002870830216977243;0.2870830216977243;55;100.88999729167341;0.046084186072849566
107;2009-01-01;2009;1;0.0009630156559096723;0.09630156559096723;55;100.98720273626012;0.0543006573636303
108;2009-02-01;2009;2;-5.462488004500223e-05;-0.005462488004500223;55;100.98168647308854;0.06778505415420742
109;2009-03-01;2009;3;-0.0018235432829445074;-0.18235432829445075;55;100.7977097927216;0.08960186389116709
110;2009-04-01;2009;4;0.0003004070011575946;0.03004070011575946;55;100.82799467911218;0.07259742996499083
111;2009-05-01;2009;5;0.0015295538582239196;0.15295538582239196;55;100.9823345328597;0.07971508017650054
112;2009-06-01;2009;6;0.0008543375869119863;0.08543375869119862;55;101.06864440049752;0.07848675087761539
113;2009-07-01;2009;7;0.002249868056252499;0.22498680562524992;55;101.29629150697208;0.06457475332120151
114;2009-08-01;2009;8;0.002515133252978552;0.2515133252978552;55;101.55138584179176;0.06869186850438319
115;2009-09-01;2009;9;-0.002298363662015073;-0.2298363662015073;55;101.31825184272867;0.07084311919499968
116;2009-10-01;2009;10;0.0007308457931037237;0.07308457931037236;55;101.39232692628697;0.09720574026816937
117;2009-11-01;2009;11;0.00158095050880324;0.158095050880324;55;101.55274995415009;0.1119258185142727
118;2009-12-01;2009;12;0.0012013905102075768;0.12013905102075768;55;101.67482778111858;0.0948155708747025
119;2010-01-01;2010;1;0.0014570694778914739;0.1457069477891474;55;101.82308305223411;0.07966271626322356
120;2010-02-01;2010;2;0.00020352520282897646;0.020352520282897645;55;101.8438087248918;0.05606264248500889
121;2010-03-01;2010;3;0.0013399712458358587;0.13399712458358587;55;101.98036797244916;0.04941494089510421
122;2010-04-01;2010;4;0.0020668163906899933;0.20668163906899933;55;102.19136063494116;0.0715407178483424
123;2010-05-01;2010;5;-0.000523675858524504;-0.0523675858524504;55;102.13785949627689;0.06943094941459908
124;2010-06-01;2010;6;-0.0009640049664654873;-0.09640049664654872;56;102.03944553585302;0.059593525480660096
125;2010-07-01;2010;7;-0.0005821407971332626;-0.05821407971332626;56;101.98006149830228;0.05854107385697623
126;2010-08-01;2010;8;0.0017174090621899913;0.17174090621899912;56;102.15535346099958;0.05461087857769124
127;2010-09-01;2010;9;0.0003567295723735097;0.03567295723735097;56;102.19180179726857;0.059213022689277285
128;2010-10-01;2010;10;0.0004776735810545245;0.04776735810545245;56;102.24062778170051;0.03439424888239485
129;2010-11-01;2010;11;0.00040045963673056214;0.04004596367305621;56;102.28157922551395;0.020443821758262162
130;2010-12-01;2010;12;0.0010750963153655126;0.10750963153655126;56;102.3916009058234;0.02193117946696326
131;2011-01-01;2011;1;0.000985446044377274;0.0985446044377274;56;102.4925520366903;0.025739277368487246
132;2011-02-01;2011;2;0.0007557824962193034;0.07557824962193034;56;102.57004339312925;0.03150187219968417
133;2011-03-01;2011;3;-0.001638281610990035;-0.1638281610990035;56;102.40214234934948;0.019750829660076092
134;2011-04-01;2011;4;0.00039276513579407184;0.03927651357940718;56;102.44237024023428;0.013273427094011669
135;2011-05-01;2011;5;-0.0003451929334803725;-0.03451929334803725;56;102.40701396065839;-0.010402979742217343
136;2011-06-01;2011;6;-0.0005070332182826086;-0.05070332182826086;56;102.35510336410573;-0.023675343025900745
137;2011-07-01;2011;7;0.0001093705826103688;0.010937058261036879;56;102.36629861359813;-0.03445836272055782
138;2011-08-01;2011;8;0.0003072839574370214;0.030728395743702144;56;102.3977589683279;-0.034956015021010485
139;2011-09-01;2011;9;-0.0004205587355542214;-0.04205587355542214;56;102.35470375055115;-0.04246074290400071
140;2011-10-01;2011;10;-0.002363495239292957;-0.2363495239292957;56;102.11307455272744;-0.03163098131995061
141;2011-11-01;2011;11;-0.0011922239573114463;-0.11922239573114463;56;101.99140544171715;-0.03870495784224577
142;2011-12-01;2011;12;-0.00021886604799333588;-0.02188660479933359;56;101.96908542851446;-0.04934641851854236
143;2012-01-01;2012;1;0.0009257277683229543;0.09257277683229544;56;102.06352474821216;-0.04603515238303974
144;2012-02-01;2012;2;-0.00014478484973952434;-0.014478484973952434;56;102.04874856582708;-0.04598826858974219
145;2012-03-01;2012;3;-0.0003387102209040228;-0.033871022090402284;56;102.01418946474816;-0.07378858671124928
146;2012-04-01;2012;4;-0.00045611204688134717;-0.04561120468813472;56;101.96767017379145;-0.07972881889637198
147;2012-05-01;2012;5;-0.001622168214635964;-0.1622168214635964;56;101.80239554817958;-0.045835836526541406
148;2012-06-01;2012;6;-0.00010968128202229372;-0.010968128202229373;56;101.79123034324111;-0.02969581674695342
149;2012-07-01;2012;7;0.00011499663780607475;0.011499663780607475;56;101.80293666556967;-0.02102746425723979
150;2012-08-01;2012;8;-0.003028754217143829;-0.3028754217143829;56;101.4950670578622;-0.008650467110068408
151;2012-09-01;2012;9;-0.0011333865977689451;-0.11333865977689452;56;101.38009907301276;-0.00714367197786597
152;2012-10-01;2012;10;0.001703662645086712;0.1703662645086712;56;101.55296377051135;-0.018109204149970883
153;2012-11-01;2012;11;0.0007445784162391114;0.07445784162391114;56;101.62860607275815;-0.01752982263873495
154;2012-12-01;2012;12;0.0008213362507723;0.08213362507723;56;101.71211161941312;-0.015349557409201306
155;2013-01-01;2013;1;0.00241096742598352;0.241096742598352;57;101.95763205931767;-0.025727741669354095
156;2013-02-01;2013;2;3.60305661247682e-05;0.0036030566124768196;57;101.9613057167031;-0.014622501228612984
157;2013-03-01;2013;3;-0.0016545740815566124;-0.16545740815566123;57;101.79274267142053;0.016172740014826065
158;2013-04-01;2013;4;-0.00038658626553303535;-0.038658626553303536;57;101.75339860060153;0.019135269309485132
159;2013-05-01;2013;5;-0.001360536387091927;-0.13605363870919268;57;101.6150535323852;0.00268451585696489
160;2013-06-01;2013;6;-0.001355063393240628;-0.1355063393240628;57;101.47745194363446;-0.0018663082150763598
161;2013-07-01;2013;7;0.001447625490695008;0.14476254906950078;57;101.6244596701923;-0.012029076116806715
162;2013-08-01;2013;8;0.0006666747320688569;0.0666674732068857;57;101.69223271839375;-0.043135910777135356
163;2013-09-01;2013;9;-0.000777883082409857;-0.0777883082409857;57;101.61315881006475;-0.03716081889845741
